,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
689074,03/11/2016,4:00,MANHATTAN,10040,40.857109,-73.9356029,"(40.857109, -73.9356029)",FORT WASHINGTON AVENUE          ,WEST 190 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3403405,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
690941,03/08/2016,1:48,MANHATTAN,10040,40.8593269,-73.9313133,"(40.8593269, -73.9313133)",BROADWAY                        ,BENNETT AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3401532,PASSENGER VEHICLE,UNKNOWN,SPORT UTILITY / STATION WAGON,VAN,PASSENGER VEHICLE
704800,02/12/2016,21:35,MANHATTAN,10025,40.7973382,-73.9624344,"(40.7973382, -73.9624344)",WEST 104 STREET                 ,MANHATTAN AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3387815,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE
706810,02/08/2016,11:00,MANHATTAN,10033,40.8454401,-73.9386792,"(40.8454401, -73.9386792)",WEST 174 STREET                 ,BROADWAY                        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3385557,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),OTHER,OTHER,OTHER
730458,12/30/2015,22:20,MANHATTAN,10039,40.8254299,-73.9363056,"(40.8254299, -73.9363056)",WEST 151 STREET                 ,7 AVENUE                        ,0,0,0,0,0,0,0,0,Driver Inexperience,Backing Unsafely,Driver Inexperience,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,3362890,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,OTHER
733579,12/23/2015,14:35,MANHATTAN,10025,40.7952524,-73.9732091,"(40.7952524, -73.9732091)",WEST 96 STREET                  ,WEST END AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3361198,BUS,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
739307,12/15/2015,19:12,MANHATTAN,10022,40.7610398,-73.9753742,"(40.7610398, -73.9753742)",WEST 54 STREET                  ,5 AVENUE                        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3353972,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,PASSENGER VEHICLE
752140,11/24/2015,23:18,MANHATTAN,10025,40.8015894,-73.9705445,"(40.8015894, -73.9705445)",RIVERSIDE DRIVE                 ,WEST 105 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3341216,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
762289,11/08/2015,3:05,MANHATTAN,10034,40.8660623,-73.922499,"(40.8660623, -73.922499)",WEST 204 STREET                 ,VERMILYEA AVENUE                ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3331000,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,UNKNOWN
764023,11/05/2015,4:15,MANHATTAN,10009,40.7281758,-73.9848573,"(40.7281758, -73.9848573)",1 AVENUE                        ,EAST 9 STREET                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3329249,TAXI,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
