,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
757349,11/16/2015,1:09,QUEENS,11435.0,40.6878729,-73.7974623,"(40.6878729, -73.7974623)",110 AVENUE                      ,LIVERPOOL STREET                ,,2,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,3335718.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
757993,11/15/2015,3:46,BROOKLYN,11238.0,40.6811205,-73.9644216,"(40.6811205, -73.9644216)",ATLANTIC AVENUE                 ,WASHINGTON AVENUE               ,,2,0.0,0,0,0,0,2,0,Failure to Keep Right,Unspecified,Unspecified,Unspecified,Unspecified,3334933.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,UNKNOWN,UNKNOWN,SPORT UTILITY / STATION WAGON
757999,11/15/2015,4:05,BROOKLYN,11215.0,40.6579365,-73.98026709999999,"(40.6579365, -73.9802671)",PROSPECT AVENUE                 ,FULLER PLACE                    ,,1,0.0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3334904.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
758343,11/14/2015,16:50,BRONX,10469.0,40.873048700000005,-73.8574889,"(40.8730487, -73.8574889)",HONE AVENUE                     ,DUNCAN STREET                   ,,0,0.0,0,0,0,0,0,0,Physical Disability,Unspecified,Unspecified,Unspecified,Unspecified,3334249.0,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
758685,11/13/2015,0:54,BROOKLYN,11238.0,40.6797033,-73.96167870000001,"(40.6797033, -73.9616787)",PACIFIC STREET                  ,GRAND AVENUE                    ,,0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,3333746.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,VAN,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
759109,11/13/2015,1:10,QUEENS,11104.0,40.7446864,-73.9164943,"(40.7446864, -73.9164943)",48 STREET                       ,43 AVENUE                       ,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3333898.0,VAN,TAXI,OTHER,SPORT UTILITY / STATION WAGON,VAN
759158,11/13/2015,21:30,BROOKLYN,11214.0,40.5916787,-73.99257920000001,"(40.5916787, -73.9925792)",BAY 40 STREET                   ,CROPSEY AVENUE                  ,,2,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3334284.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
759222,11/13/2015,4:30,STATEN ISLAND,10302.0,40.6373489,-74.1286691,"(40.6373489, -74.1286691)",JEWETT AVENUE                   ,RICHMOND TERRACE                ,,0,0.0,0,0,0,0,0,0,Failure to Keep Right,Failure to Keep Right,Unspecified,Unspecified,Unspecified,3334002.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
759793,11/12/2015,21:15,BRONX,10452.0,40.8404267,-73.922388,"(40.8404267, -73.922388)",WEST 170 STREET                 ,SHAKESPEARE AVENUE              ,,1,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3333597.0,PASSENGER VEHICLE,LIVERY VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
759847,11/12/2015,2:39,QUEENS,11373.0,40.7478646,-73.87397940000001,"(40.7478646, -73.8739794)",BENHAM STREET                   ,WHITNEY AVENUE                  ,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3333322.0,UNKNOWN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
760802,11/10/2015,16:05,BROOKLYN,11220.0,40.649359999999994,-74.0128328,"(40.64936, -74.0128328)",3 AVENUE                        ,47 STREET                       ,,1,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3331838.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,VAN,VAN,PASSENGER VEHICLE
761275,11/09/2015,0:01,BRONX,10468.0,40.861352399999994,-73.8977368,"(40.8613524, -73.8977368)",GRAND CONCOURSE                 ,EAST 183 STREET                 ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3331636.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,UNKNOWN
761702,11/09/2015,22:00,QUEENS,11413.0,40.6656356,-73.7581495,"(40.6656356, -73.7581495)",SOUTH CONDUIT AVENUE            ,SPRINGFIELD BOULEVARD           ,,5,0.0,0,0,0,0,5,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3332004.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
762135,11/08/2015,17:15,BROOKLYN,11223.0,40.5965076,-73.9775054,"(40.5965076, -73.9775054)",AVENUE U                        ,WEST 6 STREET                   ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3331710.0,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
762219,11/08/2015,1:45,QUEENS,11104.0,40.7430459,-73.9177522,"(40.7430459, -73.9177522)",47 STREET                       ,QUEENS BOULEVARD                ,,2,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3330764.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
762289,11/08/2015,3:05,MANHATTAN,10034.0,40.866062299999996,-73.922499,"(40.8660623, -73.922499)",WEST 204 STREET                 ,VERMILYEA AVENUE                ,,0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3331000.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,UNKNOWN
762326,11/08/2015,6:37,BROOKLYN,11213.0,40.670341,-73.9421061,"(40.670341, -73.9421061)",KINGSTON AVENUE                 ,LINCOLN PLACE                   ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3330632.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
762333,11/08/2015,7:30,BROOKLYN,11225.0,40.6569158,-73.9531392,"(40.6569158, -73.9531392)",ROGERS AVENUE                   ,WINTHROP STREET                 ,,2,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3331115.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
763518,11/05/2015,10:35,QUEENS,11375.0,40.71015429999999,-73.8406931,"(40.7101543, -73.8406931)",KESSEL STREET                   ,UNION TURNPIKE                  ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3329144.0,OTHER,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
763962,11/05/2015,21:30,BROOKLYN,11203.0,40.65094860000001,-73.9466746,"(40.6509486, -73.9466746)",NEW YORK AVENUE                 ,CHURCH AVENUE                   ,,0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Other Vehicular,Unspecified,Unspecified,Unspecified,3329516.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
764013,11/05/2015,2:00,BROOKLYN,11223.0,40.605358100000004,-73.9617322,"(40.6053581, -73.9617322)",CONEY ISLAND AVENUE             ,AVENUE R                        ,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3328773.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
764023,11/05/2015,4:15,MANHATTAN,10009.0,40.728175799999995,-73.9848573,"(40.7281758, -73.9848573)",1 AVENUE                        ,EAST 9 STREET                   ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3329249.0,TAXI,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
764025,11/05/2015,4:31,BROOKLYN,11207.0,40.6801624,-73.893187,"(40.6801624, -73.893187)",JAMAICA AVENUE                  ,MILLER AVENUE                   ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3328895.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,OTHER
764027,11/05/2015,4:35,QUEENS,11412.0,40.6864528,-73.7611749,"(40.6864528, -73.7611749)",FARMERS BOULEVARD               ,120 AVENUE                      ,,1,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3329157.0,VAN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
764587,11/04/2015,1:15,BRONX,10463.0,40.8772382,-73.9177996,"(40.8772382, -73.9177996)",JOHNSON AVENUE                  ,KAPPOCK STREET                  ,,0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3328006.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
764680,11/04/2015,2:30,BROOKLYN,11223.0,40.600896999999996,-73.98030200000001,"(40.600897, -73.980302)",WEST 8 STREET                   ,AVENUE S                        ,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3328045.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
765350,11/03/2015,3:20,BRONX,10470.0,40.895221299999996,-73.8800407,"(40.8952213, -73.8800407)",JEROME AVENUE                   ,EAST 233 STREET                 ,,1,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3327329.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
766198,11/01/2015,15:10,QUEENS,11356.0,40.7786051,-73.8442917,"(40.7786051, -73.8442917)",124 STREET                      ,23 AVENUE                       ,,1,0.0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,3327033.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
766291,11/01/2015,19:20,BRONX,10452.0,40.8433669,-73.91544520000001,"(40.8433669, -73.9154452)",JEROME AVENUE                   ,GOBLE PLACE                     ,,0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3326668.0,SPORT UTILITY / STATION WAGON,LIVERY VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
766395,11/01/2015,5:50,BROOKLYN,11230.0,40.6332297,-73.9648002,"(40.6332297, -73.9648002)",ARGYLE ROAD                     ,FOSTER AVENUE                   ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3326808.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
766667,10/31/2015,22:05,MANHATTAN,10029.0,40.79745,-73.9467017,"(40.79745, -73.9467017)",EAST 112 STREET                 ,MADISON AVENUE                  ,,1,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3326582.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
767125,10/30/2015,17:30,QUEENS,11418.0,40.698502600000005,-73.8254479,"(40.6985026, -73.8254479)",89 AVENUE                       ,124 STREET                      ,,0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Unspecified,Unspecified,Unspecified,Unspecified,3326298.0,VAN,VAN,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE
767546,10/29/2015,11:00,BROOKLYN,11223.0,40.601795700000004,-73.9725665,"(40.6017957, -73.9725665)",MC DONALD AVENUE                ,AVENUE S                        ,,0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,3324762.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
767861,10/29/2015,18:00,QUEENS,11104.0,40.7464599,-73.91708759999999,"(40.7464599, -73.9170876)",47 STREET                       ,SKILLMAN AVENUE                 ,,0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,3325730.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,OTHER
768133,10/29/2015,8:00,BROOKLYN,11229.0,40.6060065,-73.9558291,"(40.6060065, -73.9558291)",AVENUE R                        ,EAST 17 STREET                  ,,0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3325486.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
768234,10/29/2015,9:39,BRONX,10460.0,40.845177299999996,-73.8883174,"(40.8451773, -73.8883174)",EAST 178 STREET                 ,PROSPECT AVENUE                 ,,1,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3324690.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
768571,10/28/2015,18:00,BROOKLYN,11203.0,40.6516464,-73.9323235,"(40.6516464, -73.9323235)",EAST 48 STREET                  ,CHURCH AVENUE                   ,,3,0.0,0,0,0,0,3,0,Physical Disability,Unspecified,Unspecified,Unspecified,Unspecified,3324803.0,UNKNOWN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
768881,10/28/2015,8:50,BROOKLYN,11210.0,40.6233399,-73.95594009999999,"(40.6233399, -73.9559401)",OCEAN AVENUE                    ,AVENUE K                        ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3324001.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,OTHER,PASSENGER VEHICLE
769405,10/27/2015,2:50,BROOKLYN,11233.0,40.6823685,-73.931939,"(40.6823685, -73.931939)",MACDONOUGH STREET               ,STUYVESANT AVENUE               ,,1,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3323337.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
769947,10/26/2015,18:50,BROOKLYN,11206.0,40.7010761,-73.94042040000001,"(40.7010761, -73.9404204)",SUMNER PLACE                    ,FLUSHING AVENUE                 ,,4,0.0,0,0,0,0,4,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3323355.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
770714,10/25/2015,5:45,QUEENS,11417.0,40.67800870000001,-73.84973620000001,"(40.6780087, -73.8497362)",88 STREET                       ,107 AVENUE                      ,,0,0.0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3322632.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
770905,10/24/2015,13:30,QUEENS,11418.0,40.695283700000005,-73.84113609999999,"(40.6952837, -73.8411361)",106 STREET                      ,JAMAICA AVENUE                  ,,1,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3321763.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
771222,10/24/2015,4:15,BROOKLYN,11221.0,40.6966299,-73.9185632,"(40.6966299, -73.9185632)",MENAHAN STREET                  ,WILSON AVENUE                   ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3321723.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,TAXI,SPORT UTILITY / STATION WAGON
771769,10/23/2015,1:20,BROOKLYN,11230.0,40.612109100000005,-73.9667815,"(40.6121091, -73.9667815)",EAST 7 STREET                   ,AVENUE O                        ,,1,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3321004.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK
772479,10/22/2015,20:30,BROOKLYN,11223.0,40.6007354,-73.98216740000001,"(40.6007354, -73.9821674)",AVENUE S                        ,WEST 10 STREET                  ,,1,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3320975.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
773127,10/21/2015,19:10,QUEENS,11434.0,40.6851111,-73.7865275,"(40.6851111, -73.7865275)",157 STREET                      ,116 AVENUE                      ,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3319977.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
773662,10/20/2015,15:00,BROOKLYN,11232.0,40.6504159,-74.019136,"(40.6504159, -74.019136)",1 AVENUE                        ,50 STREET                       ,,0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,3318928.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
775301,10/18/2015,5:14,QUEENS,11385.0,40.701456799999995,-73.90294820000001,"(40.7014568, -73.9029482)",CATALPA AVENUE                  ,ONDERDONK AVENUE                ,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3317686.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
775851,10/17/2015,3:37,MANHATTAN,10035.0,40.801139899999995,-73.937687,"(40.8011399, -73.937687)",EAST 121 STREET                 ,3 AVENUE                        ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3316807.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
776413,10/16/2015,21:20,BROOKLYN,11210.0,40.634650799999996,-73.93726590000001,"(40.6346508, -73.9372659)",GLENWOOD ROAD                   ,ALBANY AVENUE                   ,,2,0.0,0,0,0,0,2,0,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,3316982.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,OTHER,SPORT UTILITY / STATION WAGON
776551,10/16/2015,8:45,QUEENS,11385.0,40.70528579999999,-73.906351,"(40.7052858, -73.906351)",GATES AVENUE                    ,WOODWARD AVENUE                 ,,3,0.0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3316587.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
777045,10/15/2015,1:30,BROOKLYN,11207.0,40.6733785,-73.88584,"(40.6733785, -73.88584)",WARWICK STREET                  ,PITKIN AVENUE                   ,,0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Other Vehicular,Other Vehicular,Other Vehicular,Unspecified,3315825.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
777151,10/15/2015,5:50,BROOKLYN,11230.0,40.620948999999996,-73.95549150000001,"(40.620949, -73.9554915)",OCEAN AVENUE                    ,AVENUE L                        ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3321028.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
777767,10/14/2015,3:00,BRONX,10457.0,40.8483147,-73.89734109999999,"(40.8483147, -73.8973411)",EAST 178 STREET                 ,WASHINGTON AVENUE               ,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Drugs (Illegal),Unspecified,Unspecified,Unspecified,3316381.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
777818,10/14/2015,7:20,QUEENS,11372.0,40.7563391,-73.87793020000001,"(40.7563391, -73.8779302)",90 STREET                       ,NORTHERN BOULEVARD              ,,2,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3315446.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
777965,10/13/2015,10:23,MANHATTAN,10030.0,40.817854700000005,-73.94766800000001,"(40.8178547, -73.947668)",ST NICHOLAS AVENUE              ,WEST 136 STREET                 ,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3314007.0,OTHER,VAN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
778121,10/13/2015,13:30,BROOKLYN,11204.0,40.625436799999996,-73.99133979999999,"(40.6254368, -73.9913398)",59 STREET                       ,16 AVENUE                       ,,2,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,Other Vehicular,Other Vehicular,Other Vehicular,3314201.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
779318,10/11/2015,14:30,QUEENS,11370.0,40.7569902,-73.8922625,"(40.7569902, -73.8922625)",75 STREET                       ,32 AVENUE                       ,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3313439.0,UNKNOWN,SPORT UTILITY / STATION WAGON,VAN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
779633,10/11/2015,2:50,BROOKLYN,11238.0,40.6830392,-73.9647775,"(40.6830392, -73.9647775)",WASHINGTON AVENUE               ,FULTON STREET                   ,,1,0.0,0,0,0,0,1,0,Driver Inexperience,Other Vehicular,Unspecified,Unspecified,Unspecified,3313250.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
779833,10/10/2015,12:15,BROOKLYN,11204.0,40.6095141,-73.98956629999999,"(40.6095141, -73.9895663)",BAY RIDGE PARKWAY               ,21 AVENUE                       ,,2,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3313118.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
780821,10/09/2015,19:00,QUEENS,11101.0,40.7525562,-73.92970890000001,"(40.7525562, -73.9297089)",38 AVENUE                       ,34 STREET                       ,,0,0.0,0,0,0,0,0,0,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,3314612.0,SMALL COM VEH(4 TIRES) ,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
781733,10/08/2015,8:25,BROOKLYN,11221.0,40.6890232,-73.93924129999999,"(40.6890232, -73.9392413)",LEXINGTON AVENUE                ,MARCUS GARVEY BOULEVARD         ,,5,0.0,0,0,0,0,5,0,Backing Unsafely,Other Electronic Device,Unspecified,Unspecified,Unspecified,3311331.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,OTHER,PASSENGER VEHICLE
782727,10/06/2015,16:35,MANHATTAN,10018.0,40.7607762,-74.0021839,"(40.7607762, -74.0021839)",JOE DIMAGGIO HIGHWAY            ,WEST 40 STREET                  ,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3309704.0,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
782980,10/06/2015,6:46,MANHATTAN,10025.0,40.7972493,-73.96803990000001,"(40.7972493, -73.9680399)",AMSTERDAM AVENUE                ,WEST 101 STREET                 ,,0,0.0,0,0,0,0,0,0,Brakes Defective,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3310435.0,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
